age_years,sex,postcode,year,cultural_background,population
,,"5134, SA",,Non-Indigenous,0
,,,,Indigenous,0
,,"5136, SA",,Non-Indigenous,0
,,,,Indigenous,0
,,"5137, SA",,Non-Indigenous,5
,,,,Indigenous,0
,,"5138, SA",,Non-Indigenous,0
,,,,Indigenous,0
,,"5139, SA",,Non-Indigenous,0
,,,,Indigenous,0
,,"5140, SA",,Non-Indigenous,0
,,,,Indigenous,0
,,"5141, SA",,Non-Indigenous,3
,,,,Indigenous,0
,,"5142, SA",,Non-Indigenous,6
,,,,Indigenous,0
,,"5144, SA",,Non-Indigenous,0
,,,,Indigenous,0
,,"5150, SA",,Non-Indigenous,0
,,,,Indigenous,0
,,"5151, SA",,Non-Indigenous,0
,,,,Indigenous,0
,,"5152, SA",,Non-Indigenous,25
,,,,Indigenous,0
,,"5153, SA",,Non-Indigenous,26
,,,,Indigenous,0
,,"5154, SA",,Non-Indigenous,15
,,,,Indigenous,0
,,"5155, SA",,Non-Indigenous,26
,,,,Indigenous,0
,,"5156, SA",,Non-Indigenous,0
,,,,Indigenous,0
,,"5157, SA",,Non-Indigenous,20
,,,,Indigenous,0
,,"5158, SA",,Non-Indigenous,122
,,,,Indigenous,3
,,"5159, SA",,Non-Indigenous,162
,,,,Indigenous,9
,,"5160, SA",,Non-Indigenous,0
,,,,Indigenous,0
,,"5161, SA",,Non-Indigenous,52
,,,,Indigenous,0
,,"5162, SA",,Non-Indigenous,197
,,,,Indigenous,11
,,"5163, SA",,Non-Indigenous,85
,,,,Indigenous,0
,,"5164, SA",,Non-Indigenous,18
,,,,Indigenous,5
,,"5165, SA",,Non-Indigenous,26
,,,,Indigenous,0
,,"5166, SA",,Non-Indigenous,3
,,,,Indigenous,0
,,"5167, SA",,Non-Indigenous,31
,,,,Indigenous,0
,,"5168, SA",,Non-Indigenous,29
,,,,Indigenous,3
,,"5169, SA",,Non-Indigenous,154
,,,,Indigenous,4
,,"5170, SA",,Non-Indigenous,3
,,,,Indigenous,0
,,"5171, SA",,Non-Indigenous,21
,,,,Indigenous,0
,,"5172, SA",,Non-Indigenous,25
,,,,Indigenous,0
,,"5173, SA",,Non-Indigenous,53
,,,,Indigenous,0
,,"5174, SA",,Non-Indigenous,18
,,,,Indigenous,0
,,"5201, SA",,Non-Indigenous,12
,,,,Indigenous,0
,,"5202, SA",,Non-Indigenous,0
,,,,Indigenous,0
,,"5203, SA",,Non-Indigenous,5
,,,,Indigenous,0
,,"5204, SA",,Non-Indigenous,10
,,,,Indigenous,0
,,"5210, SA",,Non-Indigenous,8
,,,,Indigenous,0
,,"5211, SA",,Non-Indigenous,50
,,,,Indigenous,4
,,"5212, SA",,Non-Indigenous,8
,,,,Indigenous,0
,,"5213, SA",,Non-Indigenous,5
,,,,Indigenous,0
,,"5214, SA",,Non-Indigenous,28
,,,,Indigenous,0
,,"5220, SA",,Non-Indigenous,0
,,,,Indigenous,0
,,"5221, SA",,Non-Indigenous,0
,,,,Indigenous,0
,,"5222, SA",,Non-Indigenous,0
,,,,Indigenous,0
,,"5223, SA",,Non-Indigenous,12
,,,,Indigenous,0
,,"5231, SA",,Non-Indigenous,3
,,,,Indigenous,0
,,"5232, SA",,Non-Indigenous,0
,,,,Indigenous,0
,,"5233, SA",,Non-Indigenous,5
,,,,Indigenous,0
,,"5234, SA",,Non-Indigenous,10
,,,,Indigenous,0
,,"5235, SA",,Non-Indigenous,14
,,,,Indigenous,0
,,"5236, SA",,Non-Indigenous,3
,,,,Indigenous,0
,,"5237, SA",,Non-Indigenous,0
,,,,Indigenous,0
,,"5238, SA",,Non-Indigenous,19
,,,,Indigenous,0
,,"5240, SA",,Non-Indigenous,0
,,,,Indigenous,0
,,"5241, SA",,Non-Indigenous,14
,,,,Indigenous,0
,,"5242, SA",,Non-Indigenous,10
,,,,Indigenous,0
,,"5243, SA",,Non-Indigenous,0
,,,,Indigenous,0
,,"5244, SA",,Non-Indigenous,17
,,,,Indigenous,0
,,"5245, SA",,Non-Indigenous,19
,,,,Indigenous,0
,,"5250, SA",,Non-Indigenous,14
,,,,Indigenous,0
,,"5251, SA",,Non-Indigenous,123
,,,,Indigenous,4
,,"5252, SA",,Non-Indigenous,46
,,,,Indigenous,0
,,"5253, SA",,Non-Indigenous,96
,,,,Indigenous,12
,,"5254, SA",,Non-Indigenous,16
,,,,Indigenous,0
,,"5255, SA",,Non-Indigenous,53
,,,,Indigenous,0
,,"5256, SA",,Non-Indigenous,3
,,,,Indigenous,0
,,"5259, SA",,Non-Indigenous,12
,,,,Indigenous,0
,,"5260, SA",,Non-Indigenous,5
,,,,Indigenous,5
,,"5261, SA",,Non-Indigenous,5
,,,,Indigenous,0
,,"5262, SA",,Non-Indigenous,0
,,,,Indigenous,0
,,"5263, SA",,Non-Indigenous,0
,,,,Indigenous,0
,,"5264, SA",,Non-Indigenous,7
,,,,Indigenous,0
,,"5265, SA",,Non-Indigenous,0
,,,,Indigenous,0
,,"5266, SA",,Non-Indigenous,0
,,,,Indigenous,0
,,"5267, SA",,Non-Indigenous,11
,,,,Indigenous,0
,,"5268, SA",,Non-Indigenous,18
,,,,Indigenous,0
,,"5269, SA",,Non-Indigenous,4
,,,,Indigenous,0
,,"5270, SA",,Non-Indigenous,0
,,,,Indigenous,0
,,"5271, SA",,Non-Indigenous,53
,,,,Indigenous,4
,,"5272, SA",,Non-Indigenous,3
,,,,Indigenous,0
,,"5273, SA",,Non-Indigenous,0
,,,,Indigenous,0
,,"5275, SA",,Non-Indigenous,7
,,,,Indigenous,0
,,"5276, SA",,Non-Indigenous,6
,,,,Indigenous,0
,,"5277, SA",,Non-Indigenous,16
,,,,Indigenous,0
,,"5278, SA",,Non-Indigenous,3
,,,,Indigenous,0
,,"5279, SA",,Non-Indigenous,4
,,,,Indigenous,0
,,"5280, SA",,Non-Indigenous,27
,,,,Indigenous,0
,,"5290, SA",,Non-Indigenous,137
,,,,Indigenous,10
,,"5291, SA",,Non-Indigenous,39
,,,,Indigenous,7
,,"5301, SA",,Non-Indigenous,0
,,,,Indigenous,0
,,"5302, SA",,Non-Indigenous,5
,,,,Indigenous,0
,,"5303, SA",,Non-Indigenous,3
,,,,Indigenous,0
,,"5304, SA",,Non-Indigenous,3
,,,,Indigenous,0
,,"5306, SA",,Non-Indigenous,0
,,,,Indigenous,0
,,"5307, SA",,Non-Indigenous,4
,,,,Indigenous,0
,,"5308, SA",,Non-Indigenous,0
,,,,Indigenous,0
,,"5309, SA",,Non-Indigenous,0
,,,,Indigenous,0
,,"5310, SA",,Non-Indigenous,0
,,,,Indigenous,0
,,"5311, SA",,Non-Indigenous,4
,,,,Indigenous,0
,,"5320, SA",,Non-Indigenous,4
,,,,Indigenous,0
,,"5321, SA",,Non-Indigenous,0
,,,,Indigenous,0
,,"5322, SA",,Non-Indigenous,9
,,,,Indigenous,0
,,"5330, SA",,Non-Indigenous,20
,,,,Indigenous,4
,,"5331, SA",,Non-Indigenous,0
,,,,Indigenous,0
,,"5332, SA",,Non-Indigenous,0
,,,,Indigenous,0
,,"5333, SA",,Non-Indigenous,35
,,,,Indigenous,10
,,"5340, SA",,Non-Indigenous,11
,,,,Indigenous,0
,,"5341, SA",,Non-Indigenous,44
,,,,Indigenous,0
,,"5342, SA",,Non-Indigenous,3
,,,,Indigenous,0
,,"5343, SA",,Non-Indigenous,11
,,,,Indigenous,3
,,"5344, SA",,Non-Indigenous,0
,,,,Indigenous,0
,,"5345, SA",,Non-Indigenous,16
,,,,Indigenous,0
,,"5346, SA",,Non-Indigenous,4
,,,,Indigenous,0
,,"5350, SA",,Non-Indigenous,4
,,,,Indigenous,0
,,"5351, SA",,Non-Indigenous,23
,,,,Indigenous,4
,,"5352, SA",,Non-Indigenous,26
,,,,Indigenous,0
,,"5353, SA",,Non-Indigenous,13
,,,,Indigenous,0
,,"5354, SA",,Non-Indigenous,0
,,,,Indigenous,0
,,"5355, SA",,Non-Indigenous,37
,,,,Indigenous,0
,,"5356, SA",,Non-Indigenous,5
